chapter,section,subsection,label,caption,language,lines,refs,has_imports,category,layer,prereq,run_entry,disposition
ch03,模块化与依赖,接口封装的实践方法,lst:ch03-java-interface,监测数据提供接口,Java,3,1,0,原理实验,C,,,
ch03,模块化与依赖,接口封装的实践方法,lst:ch03-monitoring-dto,监测数据传输对象,Java,6,1,1,原理实验,C,,,
ch03,模块化与依赖,接口封装的实践方法,lst:ch03-record-port,监测记录持久化端口,Java,5,1,1,原理实验,C,,,
ch03,模块化与依赖,接口封装的实践方法,lst:ch03-usecase-service,测值接收用例服务,Java,14,1,1,原理实验,C,,,
ch03,模块化与依赖,接口封装的实践方法,lst:ch03-controller,监测数据查询控制器,Java,14,1,1,原理实验,C,,,
ch03,模块化与依赖,接口封装的实践方法,lst:ch03-anomaly-event,异常分析事件契约,Java,6,1,1,原理实验,C,,,
ch04,HTML基础与语义化,,lst:ch04-html-shell,水利平台页面骨架,html,18,0,0,原理实验,C,,,
ch04,HTML基础与语义化,文档流、渲染流程与页面地标,lst:ch04-a41-landmarks,带地标和跳转链接的监测页面骨架,html,40,3,0,原理实验,C,,,
ch04,HTML基础与语义化,文档流、渲染流程与页面地标,lst:ch04-a41-form,监测查询表单的原生校验与可访问提示,html,20,1,0,原理实验,C,,,
ch04,HTML基础与语义化,文档流、渲染流程与页面地标,lst:ch04-a41-focus,监测详情对话框的焦点管理,JavaScript,27,1,0,原理实验,C,,,
ch04,CSS样式与响应式布局,,lst:ch04-css-responsive,监测卡片响应式样式,CSS,16,0,0,原理实验,C,,,
ch04,CSS样式与响应式布局,盒模型与尺寸计算,lst:ch04-css-box-sizing,监测卡片的 border-box 盒模型,CSS,16,1,0,原理实验,C,,,
ch04,CSS样式与响应式布局,盒模型与尺寸计算,lst:ch04-css-cascade,主题变量与状态层叠规则,CSS,19,1,0,原理实验,C,,,
ch04,CSS样式与响应式布局,单位体系与可伸缩界面,lst:ch04-css-units,监测面板的 CSS 单位策略,CSS,17,1,0,原理实验,C,,,
ch04,CSS样式与响应式布局,定位、层叠上下文与覆盖关系,lst:ch04-css-position,监测工具条与预警浮层的定位,CSS,24,1,0,连续案例,E,,,
ch04,CSS样式与响应式布局,Flexbox：一维的告警工具栏,lst:ch04-a43-flex-toolbar,告警工具栏 Flex 完整实例,html,49,1,0,连续案例,G,,,
ch04,CSS样式与响应式布局,Grid：二维的监测仪表盘,lst:ch04-a43-grid-dashboard,监测仪表盘 Grid 完整实例,html,56,1,0,原理实验,G,,,
ch04,CSS样式与响应式布局,响应式断点与大屏适配,lst:ch04-a43-breakpoints,移动优先与 1920/2560/3840 大屏断点,CSS,26,1,0,原理实验,G,,,
ch04,CSS样式与响应式布局,CSS 变量与暗色主题,lst:ch04-a43-dark-theme,监测页面的明暗主题与高对比度,CSS,33,1,0,原理实验,E,,,
ch04,CSS样式与响应式布局,Flex布局的故障定位与可访问性验收,lst:ch04-a49-flex-debug,可诊断的告警摘要 Flex 样式,CSS,39,1,0,连续案例,G,,,
ch04,JavaScript基础编程,,lst:ch04-js-basics,JavaScript基础变量与函数,JavaScript,6,0,0,原理实验,C,,,
ch04,JavaScript基础编程,,lst:ch04-js-condition,监测值条件判断,JavaScript,12,0,0,原理实验,C,,,
ch04,JavaScript基础编程,类型、相等性与可预测数据,lst:ch04-a44-types,监测读数的类型守卫与严格比较,JavaScript,13,1,0,原理实验,C,,,
ch04,JavaScript基础编程,函数、闭包与数组高阶方法,lst:ch04-a44-closures,闭包与数组高阶方法,JavaScript,21,1,0,原理实验,C,,,
ch04,JavaScript基础编程,解构、展开与 ES 模块,lst:ch04-a44-modules,ES 模块、解构与展开,JavaScript,14,1,1,原理实验,C,,,
ch04,JavaScript基础编程,DOM 查询、增删改与安全写入,lst:ch04-a44-dom,安全创建和更新测站 DOM,JavaScript,16,1,0,连续案例,C,,,
ch04,JavaScript基础编程,事件委托与长列表,lst:ch04-a44-events,测站列表的事件委托与 preventDefault,JavaScript,20,1,0,连续案例,G,,,
ch04,JavaScript基础编程,事件委托与长列表,lst:ch04-a44-virtual-list,长测站列表的可视窗口渲染思路,JavaScript,29,1,0,连续案例,G,,,
ch04,JavaScript基础编程,异常处理,lst:ch04-js-array,监测报文解析的分类异常处理,JavaScript,17,0,0,原理实验,C,,,
ch04,JavaScript基础编程,收束练习：一个最小的输入校验页面,lst:ch04-html-vue,测站输入 HTML 片段,html,4,0,0,连续案例,C,,,
ch04,JavaScript基础编程,收束练习：一个最小的输入校验页面,lst:ch04-a44-dom-script,测站输入 JavaScript 片段,JavaScript,12,1,0,连续案例,C,,,
ch04,数据请求与页面状态,原理：一次请求从发出到页面更新,lst:ch04-a45-promise,Promise 状态一经落定不可再变,JavaScript,15,1,0,原理实验,C,,,
ch04,数据请求与页面状态,原理：一次请求从发出到页面更新,lst:ch04-js-fetch,then 链写法：读取一个对象的最新观测,JavaScript,11,1,0,连续案例,C,,,
ch04,数据请求与页面状态,原理：一次请求从发出到页面更新,lst:ch04-js-debug,async/await 写法：并发读取最新观测与该对象的预警,JavaScript,14,1,0,连续案例,C,,,
ch04,数据请求与页面状态,完整例子：读取对象列表与最新观测,lst:ch04-r1-load,detail.js：登录、对象列表与最新观测（S2 阶段起点）,JavaScript,43,6,0,连续案例,C,,,
ch04,数据请求与页面状态,页面的四种状态：加载、空数据、错误与过期,lst:ch04-r1-state,state.js：页面状态模型与渲染,JavaScript,29,2,0,原理实验,C,,,
ch04,数据请求与页面状态,故障单元：切换测点时旧数据覆盖新数据,lst:ch04-r1-race,controller.js：取消旧请求并丢弃迟到响应,JavaScript,31,3,1,原理实验,C,,,
ch04,数据请求与页面状态,request.js：JWT、401 与超时的统一入口,lst:ch04-a45-request,request.js：令牌注入、401 跳转与超时,JavaScript,47,4,0,原理实验,G,,,
ch04,数据请求与页面状态,Vite 代理与环境变量,lst:ch04-a45-vite,Vite 5 的 server.proxy 与 import.meta.env,JavaScript,21,1,1,原理实验,G,,,
ch04,数据请求与页面状态,登录到受保护接口的前后端联调闭环,lst:ch04-a49-auth-client,前端登录与受保护请求的联调客户端,JavaScript,37,1,1,连续案例,G,,,
ch04,数据请求与页面状态,拓展：事件循环与任务调度,lst:ch04-a45-event-loop,事件循环中的同步、微任务与宏任务,JavaScript,8,1,0,原理实验,E,,,
ch04,Vue 3组件化开发,,lst:ch04-vue-component,测站卡片组合式组件,Vue,19,0,1,连续案例,C,,,
ch04,Vue 3组件化开发,Vue 3.4 组合式 API 与响应式状态,lst:ch04-a46-reactivity,Vue 3 响应式 API 与监听器,Vue,17,1,1,原理实验,C,,,
ch04,Vue 3组件化开发,模板指令与组件通信,lst:ch04-a46-directives,Vue 模板指令与稳定 key,Vue,20,1,0,原理实验,C,,,
ch04,Vue 3组件化开发,模板指令与组件通信,lst:ch04-a46-communication,Vue props、emit、slot 与 provide/inject,Vue,23,1,1,原理实验,C,,,
ch04,Vue 3组件化开发,生命周期与资源清理,lst:ch04-a46-lifecycle,onMounted 与 onUnmounted 的清理模式,Vue,23,1,1,原理实验,G,,,
ch04,Vue 3组件化开发,测站列表筛选页：从 SFC 到组件拆分,lst:ch04-a46-station-row,测站列表行组件 AssetRow.vue,Vue,17,1,0,连续案例,G,,,
ch04,Vue 3组件化开发,测站列表筛选页：从 SFC 到组件拆分,lst:ch04-a46-station-filter,测站列表筛选页 AssetFilterPage.vue,Vue,42,1,1,连续案例,G,,,
ch04,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,lst:ch04-a47-app-shell,App.vue 根组件与 router-view,Vue,16,1,1,原理实验,G,,,
ch04,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,lst:ch04-js-router,路由表、登录守卫与重定向,JavaScript,27,1,1,连续案例,G,,,
ch04,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,lst:ch04-a47-navigation,useRouter、useRoute 与编程式导航,Vue,21,0,1,原理实验,G,,,
ch04,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,lst:ch04-a47-login,登录成功后的安全回跳,Vue,37,0,1,连续案例,G,,,
ch04,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,lst:ch04-js-pinia,Pinia测站状态管理,JavaScript,25,0,1,连续案例,G,,,
ch04,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,lst:ch04-a47-store-usage,组件内使用 Pinia 与 storeToRefs,Vue,17,1,1,原理实验,G,,,
ch04,Vue Router与Pinia应用组织,AssetDetail 的动态参数与数据加载,lst:ch04-a47-station-detail,AssetDetail.vue 接收动态路由参数,Vue,21,0,1,连续案例,G,,,
ch04,Vue Router与Pinia应用组织,AssetDetail 的动态参数与数据加载,lst:ch04-a47-setup-store,Pinia setup 式 store 对照,JavaScript,27,0,1,原理实验,G,,,
ch04,Vue Router与Pinia应用组织,Pinia 状态建模、错误恢复与持久化边界,lst:ch04-js-event,应用入口：注册 Pinia 与路由,JavaScript,6,0,1,原理实验,G,,,
ch04,调试、构建与阶段验收,模块化开发与调试技巧,lst:ch04-js-lifecycle,ES 模块的导出与导入,JavaScript,8,0,1,原理实验,G,,,
ch04,调试、构建与阶段验收,Vite 工程化与性能优化,lst:ch04-a48-vite-config,Vite 5 路径别名与 manualChunks 分包,JavaScript,28,1,1,原理实验,E,,,
ch04,调试、构建与阶段验收,Vite 工程化与性能优化,lst:ch04-a48-env,Vite 多环境变量与 API 客户端,JavaScript,18,0,0,原理实验,E,,,
ch04,调试、构建与阶段验收,Vite 工程化与性能优化,lst:ch04-js-http,生产构建、体积分析与部署前检查,JavaScript,18,0,1,原理实验,E,,,
ch04,调试、构建与阶段验收,Vite 工程化与性能优化,lst:ch04-a48-deploy,Vite 产物与 Docker Compose 部署契约,bash,8,0,0,工程支撑,E,,,
ch05,后端服务与REST接口概述,,lst:ch05-rest-layer,分层 REST 查询：DTO、服务与仓储接口,Java,25,1,0,原理实验,C,,,
ch05,后端服务与REST接口概述,,lst:ch05-rest-write,监测值写入：POST、校验与201 Location,Java,26,0,0,原理实验,C,,,
ch05,第一个 HTTP 接口：从固定数据到契约,返回固定数据的接口,lst:ch05-first-controller,AssetController：返回写死的对象列表,Java,25,3,1,连续案例,C,,,
ch05,第一个 HTTP 接口：从固定数据到契约,路径参数、查询参数与错误体,lst:ch05-first-params,路径参数、查询参数与契约错误体,Java,43,1,1,原理实验,C,,,
ch05,Spring Boot企业级开发基础,起步依赖与自动配置的边界,lst:ch05-boot-dependencies,Spring Boot 3.2 起步依赖与版本管理,XML,27,1,0,工程支撑,C,,,
ch05,Spring Boot企业级开发基础,application.yml 与 Profile 多环境,lst:ch05-profile-config,多环境配置与外部化密钥,YAML,31,1,0,工程支撑,G,,,
ch05,Spring Boot企业级开发基础,依赖注入与 Bean 生命周期,lst:ch05-di-lifecycle,构造器注入与 Bean 生命周期,Java,31,1,0,原理实验,C,,,
ch05,Spring Boot企业级开发基础,自动配置诊断与启动契约,lst:ch05-config-validation,配置属性注册与启动校验,Java,11,1,0,原理实验,G,,,
ch05,Spring Boot企业级开发基础,工程骨架的测试切片,lst:ch05-http,按职责分层的工程目录,bash,7,0,0,工程支撑,G,,,
ch05,Spring Boot企业级开发基础,工程骨架的测试切片,lst:ch05-application,Spring Boot应用入口与JWT配置,YAML,9,0,0,工程支撑,G,,,
ch05,Spring Boot企业级开发基础,工程骨架的测试切片,lst:ch05-query-controller,查询接口控制器,Java,14,0,0,原理实验,G,,,
ch05,Jakarta Persistence与事务管理,实体映射与Repository基础,lst:ch05-jpa-entity,Jakarta实体映射,Java,76,1,1,原理实验,C,,,
ch05,Jakarta Persistence与事务管理,关联关系与懒加载边界,lst:ch05-jpa-association,测站与读数的懒加载关联,Java,41,1,1,连续案例,G,,,
ch05,Jakarta Persistence与事务管理,N+1 查询与 fetch join,lst:ch05-fetch-join,用 fetch join 消除列表接口的 N+1,Java,20,1,1,原理实验,E,,,
ch05,Jakarta Persistence与事务管理,派生查询、Pageable 与稳定分页,lst:ch05-pageable-repository,Pageable 分页查询与服务层上限,Java,28,1,1,原理实验,G,,,
ch05,Jakarta Persistence与事务管理,乐观锁与审计字段,lst:ch05-version-audit,乐观锁与审计字段映射,Java,35,1,1,原理实验,G,,,
