number,title,layer,prerequisite,file,line
1.1,智慧水利的概念与发展,混合,False,output/chapters/chapter01.tex,19
1.1.1,定义、边界与基本特征,核心,,output/chapters/chapter01.tex,23
1.1.2,政策主线与建设方向,核心,,output/chapters/chapter01.tex,50
1.1.3,感知、通信与数据交换,拓展,,output/chapters/chapter01.tex,58
1.1.4,发展脉络：从信息化到数字孪生,拓展,,output/chapters/chapter01.tex,77
1.1.5,政策体系的阅读方法,拓展,,output/chapters/chapter01.tex,107
1.1.6,国内外建设路径对照,拓展,,output/chapters/chapter01.tex,132
1.1.7,智能能力的技术选型与安全边界,拓展,,output/chapters/chapter01.tex,146
1.1.8,贯穿场景：一次洪水预警如何形成闭环,核心,,output/chapters/chapter01.tex,150
1.2,智慧水利平台架构体系,混合,False,output/chapters/chapter01.tex,186
1.2.1,一次查询的完整过程：从浏览器到数据库再回来,核心,,output/chapters/chapter01.tex,190
1.2.2,四层架构与双向链路,核心,,output/chapters/chapter01.tex,237
1.2.3,平台形态与能力边界,核心,,output/chapters/chapter01.tex,263
1.2.4,典型子系统与业务实例,核心,,output/chapters/chapter01.tex,310
1.2.5,架构设计原则,核心,,output/chapters/chapter01.tex,332
1.3,软件工程方法概述,混合,False,output/chapters/chapter01.tex,398
1.3.1,软件及其工程特征,核心,,output/chapters/chapter01.tex,402
1.3.2,生命周期与核心活动,核心,,output/chapters/chapter01.tex,417
1.3.3,软件工程对智慧水利开发的作用,核心,,output/chapters/chapter01.tex,451
2.1,软件生命周期,混合,False,output/chapters/chapter02.tex,19
2.1.1,需求与规划阶段,核心,,output/chapters/chapter02.tex,25
2.1.2,架构与详细设计阶段,核心,,output/chapters/chapter02.tex,29
2.1.3,实现、集成与验证阶段,核心,,output/chapters/chapter02.tex,33
2.1.4,部署、运行与维护阶段,核心,,output/chapters/chapter02.tex,37
2.1.5,退役与数据处置阶段,拓展,,output/chapters/chapter02.tex,41
2.2,软件生命周期模型与选型,混合,False,output/chapters/chapter02.tex,63
2.2.1,瀑布模型,核心,,output/chapters/chapter02.tex,69
2.2.2,原型模型,核心,,output/chapters/chapter02.tex,93
2.2.3,迭代与增量模型,核心,,output/chapters/chapter02.tex,117
2.2.4,螺旋模型,拓展,,output/chapters/chapter02.tex,136
2.2.5,敏捷与迭代交付,核心,,output/chapters/chapter02.tex,169
2.2.6,Scrum与看板的落地,拓展,,output/chapters/chapter02.tex,175
2.2.7,DevOps与持续交付,拓展,,output/chapters/chapter02.tex,185
2.2.8,其他模型的适用边界,拓展,,output/chapters/chapter02.tex,211
2.2.9,模型选择,指导实践,,output/chapters/chapter02.tex,215
2.3,需求获取与理解,混合,False,output/chapters/chapter02.tex,268
2.3.1,干系方与业务场景,核心,,output/chapters/chapter02.tex,274
2.3.2,需求获取方法,核心,,output/chapters/chapter02.tex,284
2.3.3,需求获取方法的组合与陷阱,指导实践,,output/chapters/chapter02.tex,290
2.3.4,需求分类与优先级,核心,,output/chapters/chapter02.tex,339
2.3.5,用例规约与用户故事,核心,,output/chapters/chapter02.tex,362
2.3.6,非功能需求的分类与量化,核心,,output/chapters/chapter02.tex,391
2.4,需求分析的任务与原则,混合,False,output/chapters/chapter02.tex,424
2.4.1,核心任务,核心,,output/chapters/chapter02.tex,430
2.4.2,基本原则,核心,,output/chapters/chapter02.tex,444
2.4.3,需求验证与冲突处理,核心,,output/chapters/chapter02.tex,450
2.5,结构化分析,混合,False,output/chapters/chapter02.tex,476
2.5.1,系统流程图,核心,,output/chapters/chapter02.tex,482
2.5.2,数据流图,核心,,output/chapters/chapter02.tex,545
2.5.3,数据字典,核心,,output/chapters/chapter02.tex,638
2.5.4,实体关系与规范化,核心,,output/chapters/chapter02.tex,667
2.5.5,状态转换图与判定树,指导实践,,output/chapters/chapter02.tex,712
2.5.6,决策表,指导实践,,output/chapters/chapter02.tex,742
2.5.7,结构化分析的交叉校验,指导实践,,output/chapters/chapter02.tex,790
2.6,软件需求规格说明与验收,混合,False,output/chapters/chapter02.tex,813
2.6.1,需求评审检查单,指导实践,,output/chapters/chapter02.tex,874
2.6.2,需求变更控制流程,拓展,,output/chapters/chapter02.tex,906
2.6.3,从灌区回到水库：方法迁移,核心,,output/chapters/chapter02.tex,981
3.1,从需求到模块,混合,False,output/chapters/chapter03.tex,25
3.1.1,软件架构的定义与重要性,指导实践,,output/chapters/chapter03.tex,31
3.1.2,架构描述方法,核心,,output/chapters/chapter03.tex,97
3.1.3,系统环境表示,核心,,output/chapters/chapter03.tex,366
3.1.4,需求分析和用例建模,核心,,output/chapters/chapter03.tex,372
3.2,分层与职责,混合,False,output/chapters/chapter03.tex,408
3.2.1,常见架构类型,核心,,output/chapters/chapter03.tex,451
3.2.2,MVC架构模式,核心,,output/chapters/chapter03.tex,554
3.2.3,原型定义与细化,指导实践,,output/chapters/chapter03.tex,590
